grave_number,name
8,spiral roll
8,spiral roll
8,spiral roll
8,spiral roll
8,spiral roll
8,spiral roll
8,spiral roll
9,spiral roll
9,spiral roll
9,spiral roll
18,spiral roll
18,spiral roll
18,spiral roll
18,spiral roll
18,spiral roll
18,spiral roll
18,spiral roll
18,spiral roll
18,spiral roll
19,spiral roll
19,spiral roll
19,spiral roll
19,spiral roll
19,spiral roll
19,spiral roll
19,spiral roll
19,spiral roll
19,spiral roll
19,spiral roll
20,spiral roll
20,spiral roll
20,spiral roll
20,spiral roll
20,spiral roll
21,spiral roll
26,spiral roll
26,spiral roll
26,spiral roll
26,spiral roll
42,spiral roll
42,spiral roll
42,spiral roll
42,spiral roll
42,spiral roll
42,spiral roll
2,vessel
2,vessel
4,vessel
4,vessel
4,vessel
8,vessel
13,vessel
18,vessel
19,vessel
20,vessel
21,vessel
24,vessel
29,vessel
29,vessel
29,vessel
33,vessel
36,vessel
40,vessel
41,vessel
42,vessel
3,silex flake
13,silex flake
3,bowl
4,pebble stone
5,arrow head
7,dagger blade
16,dagger blade
32,dagger blade
7,knot-headed pin
18,knot-headed pin
7,bronze spiral
7,silex blade
8,ceramic sherd
8,ceramic sherd
8,ceramic sherd
8,ceramic sherd
8,ceramic sherd
32,ceramic sherd
8,amber bead
8,amber bead
8,amber bead
8,amber bead
9,amber bead
17,amber bead
17,amber bead
17,amber bead
17,amber bead
17,amber bead
17,amber bead
17,amber bead
18,amber bead
18,amber bead
18,amber bead
18,amber bead
18,amber bead
18,amber bead
18,amber bead
18,amber bead
18,amber bead
18,amber bead
19,amber bead
19,amber bead
19,amber bead
19,amber bead
19,amber bead
19,amber bead
19,amber bead
19,amber bead
19,amber bead
19,amber bead
19,amber bead
19,amber bead
19,amber bead
19,amber bead
19,amber bead
19,amber bead
20,amber bead
20,amber bead
21,amber bead
21,amber bead
21,amber bead
26,amber bead
32,amber bead
32,amber bead
32,amber bead
32,amber bead
33,amber bead
33,amber bead
33,amber bead
33,amber bead
33,amber bead
33,amber bead
33,amber bead
33,amber bead
33,amber bead
33,amber bead
33,amber bead
33,amber bead
33,amber bead
33,amber bead
33,amber bead
33,amber bead
33,amber bead
33,amber bead
33,amber bead
33,amber bead
33,amber bead
33,amber bead
33,amber bead
33,amber bead
33,amber bead
33,amber bead
33,amber bead
33,amber bead
33,amber bead
33,amber bead
33,amber bead
33,amber bead
33,amber bead
33,amber bead
33,amber bead
33,amber bead
33,amber bead
33,amber bead
34,amber bead
42,amber bead
42,amber bead
42,amber bead
42,amber bead
42,amber bead
8,Noppenring
8,Noppenring
9,Noppenring
9,Noppenring
18,Noppenring
18,Noppenring
18,Noppenring
19,Noppenring
19,Noppenring
19,Noppenring
21,Noppenring
21,Noppenring
21,Noppenring
21,Noppenring
29,Noppenring
29,Noppenring
33,Noppenring
41,Noppenring
41,Noppenring
41,Noppenring
42,Noppenring
42,Noppenring
42,Noppenring
8, eyelet pin
19, eyelet pin
21, eyelet pin
32, eyelet pin
32, eyelet pin
33, eyelet pin
8,daub
8,daub
8,daub
8,daub
11,natural stone
11,natural stone
11,natural stone
16,stone tool with work wear
16,stone tool with work wear
16,flanged axe
18,marine shell
24,marine shell
42,marine shell
19,clay disc
20,animal bone
20,animal bone
33,animal bone
42,animal bone
25,sleeve-headed pin
31,sleeve-headed pin
26,ring-headed pin
27,globe-headed pin
32,flanged chisel
33,Bernsteinschieber
34,bronze wire
42,pin with perforated neck
42,bone bead
44,disk-headed pin
